Location,Date,Team1,GoalsTeam1,GoalsTeam2,Team2
Unbekannt,2004-08-06T19:35:00Z,Werder Bremen,1,0,FC Schalke 04
Unbekannt,2004-08-07T13:30:00Z,BV Borussia Dortmund 09,1,2,VfL Wolfsburg
Unbekannt,2004-08-07T13:30:00Z,1. FC Kaiserslautern,1,3,1. FC Nürnberg
Unbekannt,2004-08-07T13:30:00Z,Bayer Leverkusen,2,1,Hannover 96
Unbekannt,2004-08-07T13:30:00Z,SC Freiburg,0,0,FC Hansa Rostock
Unbekannt,2004-08-07T13:30:00Z,Hertha BSC,2,2,VfL Bochum
Unbekannt,2004-08-07T13:30:00Z,Hamburger SV,0,2,FC Bayern München
Unbekannt,2004-08-08T15:30:00Z,Arminia Bielefeld,0,0,Borussia Mönchengladbach
Unbekannt,2004-08-08T15:30:00Z,VfB Stuttgart,4,2,1. FSV Mainz 05
Unbekannt,2004-08-14T13:30:00Z,FC Bayern München,1,1,Hertha BSC
Unbekannt,2004-08-14T13:30:00Z,1. FSV Mainz 05,2,1,Hamburger SV
Unbekannt,2004-08-14T13:30:00Z,Borussia Mönchengladbach,2,3,BV Borussia Dortmund 09
Unbekannt,2004-08-14T13:30:00Z,1. FC Nürnberg,1,1,VfB Stuttgart
Unbekannt,2004-08-14T13:30:00Z,FC Hansa Rostock,0,4,Werder Bremen
Unbekannt,2004-08-14T13:30:00Z,FC Schalke 04,2,1,1. FC Kaiserslautern
Unbekannt,2004-08-15T15:30:00Z,VfL Bochum,2,2,Bayer Leverkusen
Unbekannt,2004-08-15T15:30:00Z,VfL Wolfsburg,0,1,SC Freiburg
Unbekannt,2004-09-28T16:00:00Z,Hannover 96,0,1,Arminia Bielefeld
Unbekannt,2004-08-28T13:30:00Z,SC Freiburg,1,1,Borussia Mönchengladbach
Unbekannt,2004-08-28T13:30:00Z,1. FC Kaiserslautern,2,3,VfB Stuttgart
Unbekannt,2004-08-28T13:30:00Z,Arminia Bielefeld,1,2,VfL Bochum
Unbekannt,2004-08-28T13:30:00Z,Bayer Leverkusen,4,1,FC Bayern München
Unbekannt,2004-08-28T13:30:00Z,Hertha BSC,1,1,1. FSV Mainz 05
Unbekannt,2004-08-28T13:30:00Z,Hamburger SV,4,3,1. FC Nürnberg
Unbekannt,2004-08-28T13:30:00Z,FC Schalke 04,0,2,FC Hansa Rostock
Unbekannt,2004-08-29T15:30:00Z,BV Borussia Dortmund 09,1,1,Hannover 96
Unbekannt,2004-08-29T15:30:00Z,Werder Bremen,1,2,VfL Wolfsburg
Unbekannt,2004-09-11T13:30:00Z,1. FSV Mainz 05,2,0,Bayer Leverkusen
Unbekannt,2004-09-11T13:30:00Z,FC Bayern München,1,0,Arminia Bielefeld
Unbekannt,2004-09-11T13:30:00Z,VfL Bochum,2,2,BV Borussia Dortmund 09
Unbekannt,2004-09-11T13:30:00Z,Borussia Mönchengladbach,3,1,Werder Bremen
Unbekannt,2004-09-11T13:30:00Z,VfL Wolfsburg,3,0,FC Schalke 04
Unbekannt,2004-09-11T13:30:00Z,VfB Stuttgart,2,0,Hamburger SV
Unbekannt,2004-09-11T13:30:00Z,1. FC Nürnberg,0,0,Hertha BSC
Unbekannt,2004-09-12T15:30:00Z,Hannover 96,2,2,SC Freiburg
Unbekannt,2004-09-12T15:30:00Z,FC Hansa Rostock,2,3,1. FC Kaiserslautern
Unbekannt,2004-09-18T13:30:00Z,1. FC Kaiserslautern,2,1,Hamburger SV
Unbekannt,2004-09-18T13:30:00Z,BV Borussia Dortmund 09,2,2,FC Bayern München
Unbekannt,2004-09-18T13:30:00Z,Arminia Bielefeld,1,1,1. FSV Mainz 05
Unbekannt,2004-09-18T13:30:00Z,Bayer Leverkusen,2,2,1. FC Nürnberg
Unbekannt,2004-09-18T13:30:00Z,FC Hansa Rostock,1,2,VfL Wolfsburg
Unbekannt,2004-09-18T13:30:00Z,FC Schalke 04,3,2,Borussia Mönchengladbach
Unbekannt,2004-09-18T13:30:00Z,Werder Bremen,3,0,Hannover 96
Unbekannt,2004-09-19T15:30:00Z,SC Freiburg,1,1,VfL Bochum
Unbekannt,2004-09-19T15:30:00Z,Hertha BSC,0,0,VfB Stuttgart
Unbekannt,2004-09-25T13:30:00Z,FC Bayern München,3,1,SC Freiburg
Unbekannt,2004-09-25T13:30:00Z,VfL Bochum,1,4,Werder Bremen
Unbekannt,2004-09-25T13:30:00Z,Hannover 96,1,0,FC Schalke 04
Unbekannt,2004-09-25T13:30:00Z,Borussia Mönchengladbach,2,2,FC Hansa Rostock
Unbekannt,2004-09-25T13:30:00Z,VfL Wolfsburg,2,1,1. FC Kaiserslautern
Unbekannt,2004-09-25T13:30:00Z,VfB Stuttgart,3,0,Bayer Leverkusen
Unbekannt,2004-09-25T13:30:00Z,1. FC Nürnberg,1,2,Arminia Bielefeld
Unbekannt,2004-09-26T15:30:00Z,1. FSV Mainz 05,1,1,BV Borussia Dortmund 09
Unbekannt,2004-09-26T15:30:00Z,Hamburger SV,2,1,Hertha BSC
Unbekannt,2004-10-02T13:30:00Z,1. FC Kaiserslautern,0,2,Hertha BSC
Unbekannt,2004-10-02T13:30:00Z,SC Freiburg,1,2,1. FSV Mainz 05
Unbekannt,2004-10-02T13:30:00Z,BV Borussia Dortmund 09,2,2,1. FC Nürnberg
Unbekannt,2004-10-02T13:30:00Z,Bayer Leverkusen,3,0,Hamburger SV
Unbekannt,2004-10-02T13:30:00Z,VfL Wolfsburg,2,1,Borussia Mönchengladbach
Unbekannt,2004-10-02T13:30:00Z,FC Hansa Rostock,1,3,Hannover 96
Unbekannt,2004-10-02T13:30:00Z,Werder Bremen,1,2,FC Bayern München
Unbekannt,2004-10-03T15:30:00Z,Arminia Bielefeld,0,2,VfB Stuttgart
Unbekannt,2004-10-03T15:30:00Z,FC Schalke 04,3,2,VfL Bochum
Unbekannt,2004-10-16T13:30:00Z,1. FSV Mainz 05,2,1,Werder Bremen
Unbekannt,2004-10-16T13:30:00Z,FC Bayern München,0,1,FC Schalke 04
Unbekannt,2004-10-16T13:30:00Z,VfL Bochum,0,1,FC Hansa Rostock
Unbekannt,2004-10-16T13:30:00Z,Hertha BSC,3,1,Bayer Leverkusen
Unbekannt,2004-10-16T13:30:00Z,Hamburger SV,0,2,Arminia Bielefeld
Unbekannt,2004-10-16T13:30:00Z,VfB Stuttgart,2,0,BV Borussia Dortmund 09
Unbekannt,2004-10-16T13:30:00Z,1. FC Nürnberg,3,0,SC Freiburg
Unbekannt,2004-10-17T15:30:00Z,Hannover 96,3,0,VfL Wolfsburg
Unbekannt,2004-10-17T15:30:00Z,Borussia Mönchengladbach,2,0,1. FC Kaiserslautern
Unbekannt,2004-10-23T13:30:00Z,1. FC Kaiserslautern,0,0,Bayer Leverkusen
Unbekannt,2004-10-23T13:30:00Z,BV Borussia Dortmund 09,0,2,Hamburger SV
Unbekannt,2004-10-23T13:30:00Z,Arminia Bielefeld,1,0,Hertha BSC
Unbekannt,2004-10-23T13:30:00Z,Borussia Mönchengladbach,0,2,Hannover 96
Unbekannt,2004-10-23T13:30:00Z,VfL Wolfsburg,3,0,VfL Bochum
Unbekannt,2004-10-23T13:30:00Z,FC Hansa Rostock,0,2,FC Bayern München
Unbekannt,2004-10-23T13:30:00Z,Werder Bremen,4,1,1. FC Nürnberg
Unbekannt,2004-10-24T15:30:00Z,SC Freiburg,2,0,VfB Stuttgart
Unbekannt,2004-10-24T15:30:00Z,FC Schalke 04,2,1,1. FSV Mainz 05
Unbekannt,2004-10-26T18:00:00Z,FC Bayern München,2,0,VfL Wolfsburg
Unbekannt,2004-10-26T18:00:00Z,VfL Bochum,3,0,Borussia Mönchengladbach
Unbekannt,2004-10-26T18:00:00Z,Hannover 96,3,1,1. FC Kaiserslautern
Unbekannt,2004-10-26T18:00:00Z,Hertha BSC,0,1,BV Borussia Dortmund 09
Unbekannt,2004-10-27T18:00:00Z,1. FSV Mainz 05,3,1,FC Hansa Rostock
Unbekannt,2004-10-27T18:00:00Z,Bayer Leverkusen,3,2,Arminia Bielefeld
Unbekannt,2004-10-27T18:00:00Z,Hamburger SV,4,0,SC Freiburg
Unbekannt,2004-10-27T18:00:00Z,VfB Stuttgart,1,2,Werder Bremen
Unbekannt,2004-10-27T18:00:00Z,1. FC Nürnberg,0,2,FC Schalke 04
Unbekannt,2004-10-30T13:30:00Z,SC Freiburg,1,3,Hertha BSC
Unbekannt,2004-10-30T13:30:00Z,BV Borussia Dortmund 09,1,0,Bayer Leverkusen
Unbekannt,2004-10-30T13:30:00Z,Hannover 96,3,0,VfL Bochum
Unbekannt,2004-10-30T13:30:00Z,Borussia Mönchengladbach,2,0,FC Bayern München
Unbekannt,2004-10-30T13:30:00Z,VfL Wolfsburg,4,3,1. FSV Mainz 05
Unbekannt,2004-10-30T13:30:00Z,FC Schalke 04,3,2,VfB Stuttgart
Unbekannt,2004-10-30T13:30:00Z,Werder Bremen,1,1,Hamburger SV
Unbekannt,2004-10-31T16:30:00Z,1. FC Kaiserslautern,2,1,Arminia Bielefeld
Unbekannt,2004-10-31T16:30:00Z,FC Hansa Rostock,0,2,1. FC Nürnberg
Unbekannt,2004-11-06T14:30:00Z,1. FSV Mainz 05,1,1,Borussia Mönchengladbach
Unbekannt,2004-11-06T14:30:00Z,FC Bayern München,3,0,Hannover 96
Unbekannt,2004-11-06T14:30:00Z,VfL Bochum,1,1,1. FC Kaiserslautern
Unbekannt,2004-11-06T14:30:00Z,Arminia Bielefeld,1,0,BV Borussia Dortmund 09
Unbekannt,2004-11-06T14:30:00Z,Bayer Leverkusen,4,1,SC Freiburg
Unbekannt,2004-11-06T14:30:00Z,Hertha BSC,1,1,Werder Bremen
Unbekannt,2004-11-06T14:30:00Z,1. FC Nürnberg,4,0,VfL Wolfsburg
Unbekannt,2004-11-07T16:30:00Z,Hamburger SV,1,2,FC Schalke 04
Unbekannt,2004-11-07T16:30:00Z,VfB Stuttgart,4,0,FC Hansa Rostock
Unbekannt,2004-11-13T14:30:00Z,1. FC Kaiserslautern,1,0,BV Borussia Dortmund 09
Unbekannt,2004-11-13T14:30:00Z,SC Freiburg,2,3,Arminia Bielefeld
Unbekannt,2004-11-13T14:30:00Z,Hannover 96,2,0,1. FSV Mainz 05
Unbekannt,2004-11-13T14:30:00Z,Borussia Mönchengladbach,2,1,1. FC Nürnberg
Unbekannt,2004-11-13T14:30:00Z,VfL Wolfsburg,3,0,VfB Stuttgart
Unbekannt,2004-11-13T14:30:00Z,FC Schalke 04,1,3,Hertha BSC
Unbekannt,2004-11-13T14:30:00Z,Werder Bremen,2,2,Bayer Leverkusen
Unbekannt,2004-11-14T16:30:00Z,VfL Bochum,1,3,FC Bayern München
Unbekannt,2004-11-14T16:30:00Z,FC Hansa Rostock,0,6,Hamburger SV
Unbekannt,2004-11-20T14:30:00Z,1. FSV Mainz 05,1,0,VfL Bochum
Unbekannt,2004-11-20T14:30:00Z,FC Bayern München,3,1,1. FC Kaiserslautern
Unbekannt,2004-11-20T14:30:00Z,BV Borussia Dortmund 09,2,0,SC Freiburg
Unbekannt,2004-11-20T14:30:00Z,Arminia Bielefeld,2,1,Werder Bremen
Unbekannt,2004-11-20T14:30:00Z,Bayer Leverkusen,0,3,FC Schalke 04
Unbekannt,2004-11-20T14:30:00Z,Hertha BSC,1,1,FC Hansa Rostock
Unbekannt,2004-11-20T14:30:00Z,VfB Stuttgart,1,0,Borussia Mönchengladbach
Unbekannt,2004-11-21T16:30:00Z,Hamburger SV,3,1,VfL Wolfsburg
Unbekannt,2004-11-21T16:30:00Z,1. FC Nürnberg,1,1,Hannover 96
Unbekannt,2004-11-27T14:30:00Z,1. FC Kaiserslautern,3,0,SC Freiburg
Unbekannt,2004-11-27T14:30:00Z,FC Bayern München,4,2,1. FSV Mainz 05
Unbekannt,2004-11-27T14:30:00Z,VfL Bochum,3,1,1. FC Nürnberg
Unbekannt,2004-11-27T14:30:00Z,Borussia Mönchengladbach,1,3,Hamburger SV
Unbekannt,2004-11-27T14:30:00Z,VfL Wolfsburg,2,3,Hertha BSC
Unbekannt,2004-11-27T14:30:00Z,FC Hansa Rostock,0,2,Bayer Leverkusen
Unbekannt,2004-11-27T14:30:00Z,Werder Bremen,2,0,BV Borussia Dortmund 09
Unbekannt,2004-11-28T16:30:00Z,Hannover 96,0,0,VfB Stuttgart
Unbekannt,2004-11-28T16:30:00Z,FC Schalke 04,2,1,Arminia Bielefeld
Unbekannt,2004-12-04T14:30:00Z,SC Freiburg,0,6,Werder Bremen
Unbekannt,2004-12-04T14:30:00Z,Arminia Bielefeld,1,1,FC Hansa Rostock
Unbekannt,2004-12-04T14:30:00Z,Bayer Leverkusen,2,1,VfL Wolfsburg
Unbekannt,2004-12-04T14:30:00Z,Hertha BSC,6,0,Borussia Mönchengladbach
Unbekannt,2004-12-04T14:30:00Z,Hamburger SV,0,2,Hannover 96
Unbekannt,2004-12-04T14:30:00Z,VfB Stuttgart,5,2,VfL Bochum
Unbekannt,2004-12-04T14:30:00Z,1. FC Nürnberg,2,2,FC Bayern München
Unbekannt,2004-12-05T16:30:00Z,1. FC Kaiserslautern,2,0,1. FSV Mainz 05
Unbekannt,2004-12-05T16:30:00Z,BV Borussia Dortmund 09,0,1,FC Schalke 04
Unbekannt,2004-12-11T14:30:00Z,1. FSV Mainz 05,0,1,1. FC Nürnberg
Unbekannt,2004-12-11T14:30:00Z,FC Bayern München,2,2,VfB Stuttgart
Unbekannt,2004-12-11T14:30:00Z,VfL Bochum,1,2,Hamburger SV
Unbekannt,2004-12-11T14:30:00Z,Hannover 96,0,1,Hertha BSC
Unbekannt,2004-12-11T14:30:00Z,FC Hansa Rostock,1,1,BV Borussia Dortmund 09
Unbekannt,2004-12-11T14:30:00Z,FC Schalke 04,1,1,SC Freiburg
Unbekannt,2004-12-11T14:30:00Z,Werder Bremen,1,1,1. FC Kaiserslautern
Unbekannt,2004-12-12T16:30:00Z,Borussia Mönchengladbach,1,1,Bayer Leverkusen
Unbekannt,2004-12-12T16:30:00Z,VfL Wolfsburg,5,0,Arminia Bielefeld
Unbekannt,2005-01-21T19:30:00Z,FC Bayern München,3,0,Hamburger SV
Unbekannt,2005-01-22T14:30:00Z,1. FC Nürnberg,1,3,1. FC Kaiserslautern
Unbekannt,2005-01-22T14:30:00Z,FC Hansa Rostock,0,0,SC Freiburg
Unbekannt,2005-01-22T14:30:00Z,VfL Wolfsburg,1,2,BV Borussia Dortmund 09
Unbekannt,2005-01-22T14:30:00Z,Borussia Mönchengladbach,1,0,Arminia Bielefeld
Unbekannt,2005-01-22T14:30:00Z,1. FSV Mainz 05,2,3,VfB Stuttgart
Unbekannt,2005-01-22T14:30:00Z,FC Schalke 04,2,1,Werder Bremen
Unbekannt,2005-01-23T16:30:00Z,Hannover 96,0,3,Bayer Leverkusen
Unbekannt,2005-01-23T16:30:00Z,VfL Bochum,2,2,Hertha BSC
Unbekannt,2005-01-29T14:30:00Z,Hamburger SV,2,1,1. FSV Mainz 05
Unbekannt,2005-01-29T14:30:00Z,Bayer Leverkusen,4,0,VfL Bochum
Unbekannt,2005-01-29T14:30:00Z,Arminia Bielefeld,0,1,Hannover 96
Unbekannt,2005-01-29T14:30:00Z,BV Borussia Dortmund 09,1,1,Borussia Mönchengladbach
Unbekannt,2005-01-29T14:30:00Z,SC Freiburg,1,0,VfL Wolfsburg
Unbekannt,2005-01-29T14:30:00Z,1. FC Kaiserslautern,2,0,FC Schalke 04
Unbekannt,2005-01-29T14:30:00Z,VfB Stuttgart,2,4,1. FC Nürnberg
Unbekannt,2005-01-30T16:30:00Z,Hertha BSC,0,0,FC Bayern München
Unbekannt,2005-01-30T16:30:00Z,Werder Bremen,3,2,FC Hansa Rostock
Unbekannt,2005-02-05T14:30:00Z,VfB Stuttgart,1,1,1. FC Kaiserslautern
Unbekannt,2005-02-05T14:30:00Z,Hannover 96,1,3,BV Borussia Dortmund 09
Unbekannt,2005-02-05T14:30:00Z,VfL Bochum,1,1,Arminia Bielefeld
Unbekannt,2005-02-05T14:30:00Z,FC Bayern München,2,0,Bayer Leverkusen
Unbekannt,2005-02-05T14:30:00Z,1. FSV Mainz 05,0,3,Hertha BSC
Unbekannt,2005-02-05T14:30:00Z,1. FC Nürnberg,1,3,Hamburger SV
Unbekannt,2005-02-05T14:30:00Z,FC Hansa Rostock,2,2,FC Schalke 04
Unbekannt,2005-02-06T16:30:00Z,Borussia Mönchengladbach,3,2,SC Freiburg
Unbekannt,2005-02-06T16:30:00Z,VfL Wolfsburg,2,3,Werder Bremen
Unbekannt,2005-02-12T14:30:00Z,BV Borussia Dortmund 09,1,0,VfL Bochum
Unbekannt,2005-02-12T14:30:00Z,SC Freiburg,0,0,Hannover 96
Unbekannt,2005-02-12T14:30:00Z,Werder Bremen,2,0,Borussia Mönchengladbach
Unbekannt,2005-02-12T14:30:00Z,FC Schalke 04,3,0,VfL Wolfsburg
Unbekannt,2005-02-12T14:30:00Z,1. FC Kaiserslautern,2,1,FC Hansa Rostock
Unbekannt,2005-02-12T14:30:00Z,Hamburger SV,2,1,VfB Stuttgart
Unbekannt,2005-02-12T14:30:00Z,Hertha BSC,2,1,1. FC Nürnberg
Unbekannt,2005-02-13T16:30:00Z,Bayer Leverkusen,2,0,1. FSV Mainz 05
Unbekannt,2005-02-13T16:30:00Z,Arminia Bielefeld,3,1,FC Bayern München
Unbekannt,2005-02-19T14:30:00Z,Hamburger SV,2,1,1. FC Kaiserslautern
Unbekannt,2005-02-19T14:30:00Z,VfL Bochum,3,1,SC Freiburg
Unbekannt,2005-02-19T14:30:00Z,FC Bayern München,5,0,BV Borussia Dortmund 09
Unbekannt,2005-02-19T14:30:00Z,1. FSV Mainz 05,0,0,Arminia Bielefeld
Unbekannt,2005-02-19T14:30:00Z,1. FC Nürnberg,2,4,Bayer Leverkusen
Unbekannt,2005-02-19T14:30:00Z,VfL Wolfsburg,4,0,FC Hansa Rostock
Unbekannt,2005-02-19T14:30:00Z,Hannover 96,1,4,Werder Bremen
Unbekannt,2005-02-20T16:30:00Z,VfB Stuttgart,1,0,Hertha BSC
Unbekannt,2005-02-20T16:30:00Z,Borussia Mönchengladbach,1,3,FC Schalke 04
Unbekannt,2005-02-26T14:30:00Z,BV Borussia Dortmund 09,3,0,1. FSV Mainz 05
Unbekannt,2005-02-26T14:30:00Z,SC Freiburg,0,1,FC Bayern München
Unbekannt,2005-02-26T14:30:00Z,Werder Bremen,4,0,VfL Bochum
Unbekannt,2005-02-26T14:30:00Z,FC Hansa Rostock,0,0,Borussia Mönchengladbach
Unbekannt,2005-02-26T14:30:00Z,1. FC Kaiserslautern,0,0,VfL Wolfsburg
Unbekannt,2005-02-26T14:30:00Z,Hertha BSC,4,1,Hamburger SV
Unbekannt,2005-02-26T14:30:00Z,Arminia Bielefeld,3,1,1. FC Nürnberg
Unbekannt,2005-02-27T16:30:00Z,FC Schalke 04,1,0,Hannover 96
Unbekannt,2005-02-27T16:30:00Z,Bayer Leverkusen,1,1,VfB Stuttgart
Unbekannt,2005-03-05T14:30:00Z,1. FSV Mainz 05,5,0,SC Freiburg
Unbekannt,2005-03-05T14:30:00Z,VfB Stuttgart,2,1,Arminia Bielefeld
Unbekannt,2005-03-05T14:30:00Z,Hamburger SV,1,0,Bayer Leverkusen
Unbekannt,2005-03-05T14:30:00Z,Borussia Mönchengladbach,1,0,VfL Wolfsburg
Unbekannt,2005-03-05T14:30:00Z,Hannover 96,0,1,FC Hansa Rostock
Unbekannt,2005-03-05T14:30:00Z,VfL Bochum,0,2,FC Schalke 04
Unbekannt,2005-03-05T14:30:00Z,FC Bayern München,1,0,Werder Bremen
Unbekannt,2005-03-06T16:30:00Z,Hertha BSC,1,1,1. FC Kaiserslautern
Unbekannt,2005-03-06T16:30:00Z,1. FC Nürnberg,2,2,BV Borussia Dortmund 09
Unbekannt,2005-03-12T14:30:00Z,Werder Bremen,0,0,1. FSV Mainz 05
